Pair,p-value
COST-GWW,0.03476862805699023
EVRG-AMGN,0.03477983577611214
BDX-KMX,0.03478330724444669
DXCM-WAT,0.03478974401584248
AJG-TSCO,0.034809819182937615
AIZ-TMO,0.034811883465756414
EBAY-SPGI,0.034814623538055735
MNST-CMI,0.03481620034203522
STX-PGR,0.0348313065329435
AJG-DE,0.03484996092746421
URI-HUBB,0.03487200248528101
PG-CMG,0.034874982361083176
MET-HUBB,0.0348770043968831
CPAY-LNT,0.0348904620855536
CDNS-AMP,0.034896460628811424
CSX-WDAY,0.034896813561917754
CARR-MPWR,0.034898800923207574
ROP-MCHP,0.034902114085631535
CDW-TXN,0.034902778821505144
WTW-EG,0.03491511908698868
MCK-STX,0.03491815533723951
NSC-MSCI,0.034933470334160145
ABBV-PGR,0.03496032782834148
GOOG-CINF,0.034964661576473995
VRSN-AVY,0.03497762097337061
HLT-L,0.03498493118479798
ERIE-WAT,0.035055878121717315
EW-NKE,0.03505620510091691
PNC-HSY,0.03506245300276474
PEG-CPAY,0.035069681264919876
TT-RSG,0.03507394540698066
PG-CDW,0.03508300020797884
MMC-MAR,0.03508571932222489
D-HAS,0.035091918465447264
PRU-CPT,0.03510006894579416
IQV-AKAM,0.035101209243596075
EA-BBY,0.03510571505375178
LMT-ECL,0.03510602906423047
MLM-AMGN,0.03510650198770134
ALL-AMAT,0.03510952466477857
TTWO-ERIE,0.03511201224506041
MMM-LUV,0.035142625970186615
ZBH-NKE,0.03515244944535023
COST-AMAT,0.03515494007690258
AON-BLK,0.03516822928949263
SO-VLO,0.035180152575231584
SRE-XYL,0.035195265339508335
BBY-MDT,0.0351961863192638
CI-YUM,0.03520158052377986
DHI-COF,0.03520725428614773
VRSN-GL,0.035220663155398214
SO-AIZ,0.03522325642276459
BDX-TSN,0.035230095406810456
LHX-ATO,0.03523169447671274
RMD-RJF,0.035234724605767265
HRL-NKE,0.035247265610852715
MLM-CBOE,0.03524767633005588
PTC-TXN,0.03526309513491169
ZBH-BALL,0.03529585038772381
ED-TSCO,0.03530088368789822
GOOG-MMC,0.035310300409101575
DTE-IEX,0.03531298029714599
EA-DGX,0.03531638014238392
DPZ-TMO,0.03532389509819242
KMB-CPAY,0.035328606367440625
USB-MHK,0.03534156680873423
CMI-WELL,0.03534608618856604
CARR-J,0.03535643862413035
CDNS-WSM,0.03535971160263283
MSFT-FICO,0.035366340334766586
ROL-PNR,0.03537406064317935
CI-SYK,0.035396059231353194
EQIX-GPC,0.035414940833873386
TTD-XYL,0.03541683035452478
MPWR-CINF,0.03542697618187377
PSA-MTB,0.03542831990772094
RMD-ZBRA,0.03543617716441076
CNC-CMCSA,0.035444944515778856
IDXX-PTC,0.03545480417131111
ULTA-CB,0.03547310416552665
COF-WELL,0.03547582842656108
EMR-LII,0.03548193432475431
AVB-EXPE,0.03548884807702643
ED-OMC,0.03549323112565768
TDG-AJG,0.035494077364905105
MDLZ-XYL,0.03549844603858994
VRSK-AMAT,0.03550836358674724
BRK.B-IR,0.035509416054905665
IDXX-MSCI,0.035519420049217036
VRSN-NDSN,0.03553298421437244
IDXX-RVTY,0.03554908361600419
IDXX-RVTY,0.03554908361600419
MCHP-EA,0.0355929832317505
TER-VRTX,0.03560150573239945
PPG-ZBH,0.03561040008341584
GOOGL-PG,0.03561255554855733
DOV-SYK,0.035622112101895254
NDAQ-FAST,0.03563194964787686
ROP-STX,0.03564770034953053
PRU-MTB,0.03565274823259429
DHI-NVR,0.03566107191646769
GOOG-DVA,0.035665346084276066
ROK-BR,0.03566647173465764
ODFL-ROL,0.03567211526501363
EIX-BIIB,0.03567523317991186
PAYX-BR,0.03567601037916437
AKAM-MOH,0.03567840618972427
JBHT-QCOM,0.03568204641109301
MO-HAS,0.03570914893389549
EIX-HAS,0.035710036730853274
CEG-AMP,0.035719639625046345
ROP-SCHW,0.03573001707733705
JCI-COR,0.03573012086472995
WRB-ANET,0.03573685289759687
EXR-INVH,0.03573778641746172
GOOG-MAS,0.03574041911665586
ED-CPAY,0.03574928932596428
VRSK-ADP,0.035751067253834534
CL-AMGN,0.035754719038954205
SRE-WAT,0.03575578990762363
AEP-STX,0.03575639804224666
RSG-IRM,0.035756991348765296
ODFL-CDW,0.035759875812460325
AEP-SYK,0.03577148365096523
MAR-ADI,0.03577860768513946
DXCM-TECH,0.03581009582267664
PKG-HON,0.03581364134624866
ITW-A,0.03581406826401732
MMC-SCHW,0.03582745343461477
AON-CSGP,0.03582805303911411
CCI-EMN,0.0358289525240671
FTNT-AMP,0.03584829167327277
ED-AIZ,0.03585509776052297
HUBB-LRCX,0.035862903972280515
BRK.B-ACGL,0.03586547017673704
CPRT-BLDR,0.035868160712589414
TDY-ADI,0.03587712640964635
DHI-TKO,0.03587917403198248
EIX-ZBH,0.03590437807036129
ZTS-INVH,0.03591400289343641
SHW-MSCI,0.0359156208327575
CPRT-HUBB,0.03591754806656447
HD-EBAY,0.03591842107513186
ED-SYK,0.03594481023658221
DHI-BKNG,0.035944854224605124
MET-TSCO,0.0359463827314079
CI-SYY,0.035946630583349605
NFLX-STX,0.035977862129768834
XYL-CHD,0.035980235409791214
TROW-EPAM,0.03598091223399975
MCO-TJX,0.035997961643178845
HCA-NVR,0.03600795503592606
SHW-APD,0.036009555269035445
GD-AEP,0.03601233123083289
OMC-KMX,0.03601250843544626
DUK-VMC,0.03603190310859295
AJG-PHM,0.0360412551682053
JCI-AZO,0.03606038703306148
NDSN-AIZ,0.036069486859551025
NOC-ADSK,0.03607003615376712
COO-CMCSA,0.03607050834750331
AZO-DHI,0.03610834170723184
LMT-FDX,0.036112584519749164
MAR-PANW,0.036113875120135024
KMB-SWKS,0.0361297327230497
LH-DE,0.03614093564608496
PEG-LII,0.03614850151749304
PCAR-VRSK,0.036159042277813275
ZBH-ESS,0.03615967783932592
DHI-AME,0.03616775208802234
NSC-MCHP,0.03617306459984234
SHW-NVR,0.036189899051075204
EG-UHS,0.03619429308408824
DXCM-ON,0.03619762463731577
SHW-ALL,0.03620798687676858
CTAS-DHI,0.03621024533429373
PEG-MPWR,0.03621193486863618
SBUX-STZ,0.03621532810635209
PG-MOH,0.0362321204761294
FTNT-HLT,0.03625750646344022
CHRW-LKQ,0.03626632574677444
TDG-FICO,0.036268390649117944
NXPI-TYL,0.03627221467816785
DPZ-BLK,0.03628118991414706
TDG-VRTX,0.03628485974724146
WDAY-NEE,0.03628611141777405
MCHP-DGX,0.03628746579720929
MPWR-BLDR,0.03628794653849468
KMB-HAS,0.03629868115978892
AMP-PEG,0.03630337500046302
CSX-GL,0.03630513103425563
NTRS-HOLX,0.03630810097877216
EXR-MKC,0.036350430393552985
ROP-SYY,0.036351262776678904
MSI-PANW,0.03635803652041344
JBHT-MOH,0.036360347841479165
SHW-MU,0.03640218668383885
ICE-TPL,0.0364118138923022
WRB-LDOS,0.03641624309777205
QCOM-HON,0.036427114091765446
SRE-OMC,0.03643326325751758
RMD-PTC,0.03644395976467034
IQV-CDW,0.0364566040052476
DLR-FFIV,0.03645856881473999
CMS-SCHW,0.03646559951851961
A-AMGN,0.03646612954021865
DUK-MTD,0.03647789873953425
TGT-CPT,0.036484601379192
PCAR-ISRG,0.036485601869167196
XYL-SYK,0.03650522831978814
ALL-PNR,0.03650916304411477
BRO-J,0.03652754214289869
DLTR-RVTY,0.03653259392004454
DLTR-RVTY,0.03653259392004454
CME-MU,0.03653619885301035
TYL-TPL,0.03653740570654469
CTSH-HII,0.0365502720109278
RSG-STLD,0.036553892367480474
NUE-ERIE,0.03655990484207932
PODD-LOW,0.03657236909653108
CI-RJF,0.03658684179209575
EXR-HSIC,0.03660779172193724
ADSK-DOV,0.036617593472202115
BLK-CRWD,0.03662708109406492
A-NTAP,0.03662834958876592
WRB-DOV,0.03662943222495401
AMZN-CSGP,0.03663340051780969
WTW-PGR,0.03663461452851986
BX-ADI,0.03664009305644543
HCA-STLD,0.036641109650690735
HOLX-QCOM,0.0366412132015817
MCHP-AWK,0.03664243102263622
CL-JBHT,0.036659715591948666
SRE-ESS,0.03666820676911056
UPS-SWKS,0.036672176725563756
CSX-EW,0.036706945247446755
VMC-ADP,0.03670894853963962
ORLY-BKNG,0.036709334402344966
SRE-KDP,0.03671851361089316
NOC-MTD,0.03671903711672892
ROP-NVR,0.036721945523564184
PH-HUBB,0.036726919959319024
XEL-UNP,0.03673124454345566
HCA-NDAQ,0.03673718802610953
NTRS-MKC,0.036739475946389336
J-CRWD,0.0367695971434666
DLR-EXPE,0.03677265910323237
CI-VRTX,0.036793350211723794
TYL-DE,0.03680671388912365
HUM-ES,0.03681783502842249
CCI-TSN,0.03682160801106434
SYY-RVTY,0.03685961135362733
SYY-RVTY,0.03685961135362733
J-ISRG,0.03686152831452402
IRM-VLTO,0.03687576396417981
DUK-EG,0.03688149720880307
AEP-DOV,0.03688472233782888
CI-LHX,0.036898976023919255
TTD-MU,0.03691461377257396
COO-NKE,0.03693528906024965
ADP-CB,0.03698196097262414
EXR-CINF,0.03699422249670629
SO-DE,0.03699600185644566
SRE-DGX,0.03699627932607171
VMC-TJX,0.03702351134825402
DUK-WDAY,0.03702843090131075
AON-PNC,0.03705424162253931
BDX-PPG,0.03706032998846613
CHTR-NKE,0.037065047992343406
MLM-DECK,0.03707019760678888
BIIB-SWK,0.03708714237077545
TTD-ROK,0.03710573239564322
DUK-COR,0.03710663343297699
FDX-CB,0.0371067128787126
DAL-MTB,0.037107555371374404
A-LNT,0.037122469511355866
LLY-VLTO,0.03713747018093597
FAST-AMP,0.03713959963002472
STX-DE,0.03714152509753432
ON-EXPD,0.03716467121481518
MET-MSCI,0.037172262197806026
FDX-KMX,0.037175016028037175
OTIS-HPE,0.03719492821220981
CMI-ERIE,0.03720063959538612
KMB-ES,0.03720918383972283
DHI-DOV,0.037250008647037314
WTW-TKO,0.03725528121645064
TPL-PANW,0.03726496411813236
TSLA-TYL,0.03727165209151239
PAYC-EPAM,0.03727598703002786
MDLZ-TYL,0.03728247384204445
JNJ-HSY,0.03731143495554941
AAPL-IT,0.03733160616188294
CEG-RL,0.03733412248023084
AAPL-EMR,0.03735047736673608
FTNT-WRB,0.03735291350570935
MLM-QCOM,0.037358525528443445
ALL-SCHW,0.03739667961209119
ICE-TRV,0.03739858339174177
NOC-DOV,0.03739864360089938
META-BSX,0.03741419755808895
ICE-NVR,0.037420390989954005
PCAR-L,0.037426749622410035
HD-NXPI,0.03745166422171521
NVR-MU,0.03746642794413931
ADSK-SYY,0.03746889098957667
O-GIS,0.03747142542995266
PNC-NDSN,0.037474450443557836
MSFT-COST,0.03748724912867496
ADSK-LOW,0.03750475764666614
ERIE-TXN,0.03750700967254823
AMZN-EMR,0.037507334376780097
SPG-K,0.03750751861168698
KDP-CHD,0.037508739623811294
COF-SNPS,0.03751378435521396
PLD-AIZ,0.03751593064774283
WDAY-IQV,0.03752406413918812
PG-SO,0.037548046046288766
DAL-EXPE,0.037554375790554005
EW-AMGN,0.03755971755256526
PG-ROL,0.03756250946674182
NOC-APD,0.037566127662388774
AMZN-CI,0.03756625331416755
AWK-APA,0.03757064691092466
MLM-LII,0.0375731734497813
AMT-AWK,0.03757817069542491
ROL-LDOS,0.03758089888932189
TSLA-SYK,0.03758143103371513
HD-GL,0.03758863509665999
TROW-GNRC,0.03759572496407353
CRL-NKE,0.03761245392347604
UPS-ADM,0.03761268657776484
ED-PNR,0.03762223778564176
DXCM-TYL,0.037625952434301314
SBUX-FDS,0.03762878400424729
DLTR-HON,0.037637174918815526
REGN-HSY,0.037637327921884414
VICI-TMO,0.0376404018132337
SBUX-BALL,0.03764394614757185
AVY-DHR,0.0376471275340414
MA-DUK,0.037650962965152995
LEN-QCOM,0.03765488213877953
PCAR-PNR,0.03765696349461096
NTRS-ES,0.03766448306802536
SO-EFX,0.0376659635106476
AAPL-FTNT,0.037673488332071375
HD-AVY,0.03767361026564328
GIS-JBHT,0.037673908451204566
UPS-DLTR,0.03768186774685503
MTB-CB,0.03769529513109012
TSLA-ROP,0.037696089163512664
PKG-SYK,0.037704923908431415
KMB-AVB,0.037712356623858655
BRK.B-ABBV,0.03773523027256814
EW-CINF,0.03773682928883045
TEL-STX,0.037751647213215424
KMB-JKHY,0.03776274100897461
HSY-EG,0.037765188426856604
VLO-DGX,0.037784244493779325
XYL-AMGN,0.03779564100282612
SJM-CAG,0.037806151682940124
CVX-KO,0.03782139844632779
MCO-ADI,0.03782197817668331
MNST-ATO,0.03782423479927872
SHW-MLM,0.03783419968157719
CARR-CINF,0.037849841534068535
ISRG-SNPS,0.03786488494519436
PCAR-WTW,0.037902103762325084
CL-DAL,0.037905279703709806
MKC-FDS,0.03790907796860709
GWW-AMP,0.03791081388625174
VRSN-ADI,0.03792853279072979
CME-DPZ,0.03793042519415288
TYL-MAS,0.037930845332984804
LUV-SWK,0.037933203632216944
BBY-MTCH,0.03793962577650873
NDAQ-MLM,0.037958111570463
L-PANW,0.03796234168183958
SHW-AEP,0.03796428547353933
ODFL-DE,0.03796650486586163
DUK-CL,0.037969240148199974
EMR-L,0.03797941625125052
MAR-PEG,0.03797946528769729
LULU-NDSN,0.037983690323810874
NDAQ-VRTX,0.037992528967004176
PHM-BSX,0.037994273483103795
CLX-CAG,0.037998935372994654
KHC-TAP,0.038003584804514955
AON-AMAT,0.03802861153997171
ELV-MU,0.03803707568781184
SBAC-TECH,0.038037612871129126
PLD-EA,0.038042934523514524
PHM-ETN,0.038068559362770316
K-L,0.038074584291200225
LLY-ANET,0.03807729930886315
MET-CINF,0.03807999032659725
COST-ABBV,0.03808918479283973
GL-UHS,0.038092052283425284
FFIV-SOLV,0.03809672391064125
SBUX-HSY,0.038104098129615085
ICE-FAST,0.03810725146483864
CPRT-RJF,0.03810844968224091
NI-FOXA,0.03810847414383673
MSCI-WAT,0.038113182396651464
AJG-MU,0.038120713348514794
ROL-RVTY,0.038121677350443396
ROL-RVTY,0.038121677350443396
PNW-AMGN,0.03812368431526342
FDX-MKC,0.03814215792538816
MCO-COF,0.03815873086077043
CSX-DGX,0.03816170100891209
ZTS-MCHP,0.038168401024054464
HPQ-MOH,0.03817658847143133
AZO-PTC,0.03819004201507573
BLDR-PGR,0.038190153777314585
KR-BKNG,0.03820503543224558
SYY-UDR,0.03820636412747454
ERIE-HON,0.03821557135542929
PEG-QCOM,0.038216089380522955
TSLA-XYL,0.0382219636156616
SYK-LRCX,0.03822635757279243
PEG-WAB,0.038229945197197246
HCA-PEG,0.03825322763290573
GOOG-MET,0.03825407757559432
HCA-VRTX,0.03826700986327618
EQIX-ACN,0.03827055567066722
SBUX-FDX,0.03828529356564421
GNRC-CRL,0.03828730026461379
FDX-ACN,0.03829179204485009
HD-ATO,0.03830093373430287
IQV-HON,0.038301505253429895
CMI-AMGN,0.038301928718452935
TGT-MAA,0.038318598962925166
MPC-DHI,0.03833457419608727
CMI-PNR,0.0383396859422749
IR-MU,0.038343954128405196
APD-DOV,0.03834662147206849
PSA-ADM,0.03835782164306391
MSCI-ADI,0.038368077941446886
ICE-ADSK,0.038392957356500036
TPL-MAS,0.03840641398476914
KDP-LNT,0.038412291862038934
AEP-BLK,0.038440211816559815
VLO-LEN,0.03844543599583448
EXR-IEX,0.038454751375284965
YUM-AIZ,0.038478154272004135
IQV-HSIC,0.03848038158264586
YUM-WTW,0.038484565747565994
VRSK-WRB,0.038487657400102446
ABBV-LDOS,0.03850912332070643
BIIB-OMC,0.038523010986945785
GS-CAT,0.03854031290714003
IRM-BKNG,0.038541632547004906
PNC-ERIE,0.03855408480923836
MTD-DRI,0.03855593431007418
GIS-KMX,0.03855632111502343
BR-SCHW,0.03855890647934269
CSGP-ADI,0.038560326210272104
KMX-RVTY,0.038563180302743943
MNST-PTC,0.03857221961160758
WSM-NWSA,0.03858139510981844
TRV-HUBB,0.03858245816375757
MET-ANET,0.038584645730443866
IDXX-ADP,0.03858515795311534
NOC-DGX,0.03859354856231596
CSGP-FDS,0.038603742730790286
NDAQ-CINF,0.03860450790671173
APO-TPL,0.03860632107535386
MO-GILD,0.03861510686565963
MET-IT,0.038630258470756254
YUM-DRI,0.03864476417809639
ED-ADI,0.03864490084036999
LULU-STE,0.038659431416742364
SRE-EFX,0.038676892837753295
VRSN-LOW,0.038682247213475046
ACN-UNP,0.038683201264163324
ADSK-ED,0.03870479360599167
ORLY-AJG,0.03870876554397867
MTD-JKHY,0.038711667395957786
BDX-IEX,0.03871486356267404
PG-NVR,0.0387175293471957
HD-NDSN,0.03873845048712156
ITW-UNP,0.038742978454437485
DRI-STE,0.03877576504564666
FAST-TSCO,0.038790730237587605
DUK-MLM,0.03879641163968545
TSLA-MAA,0.03880965667605943
LMT-WEC,0.03881172653302855
HCA-YUM,0.038829810039549086
TRV-SYK,0.03883195488093957
YUM-ERIE,0.03883922331887046
DTE-EVRG,0.03885172170044924
MKC-NDSN,0.038854028241590795
KMB-UDR,0.038857120280603376
GOOG-HLT,0.03885748252728738
URI-TKO,0.03886459702590495
LULU-NEE,0.03889356520453221
RJF-BX,0.03890998311983735
JNJ-UHS,0.03892241738806067
LYV-BLK,0.03893959513987859
TDG-LII,0.03894222088748573
BALL-CMCSA,0.03894363026616554
EOG-CF,0.038948132223951486
NTRS-RVTY,0.038948707438380116
NTRS-RVTY,0.038948707438380116
EMR-PTC,0.038964733688471094
AAPL-DRI,0.03897628752824079
MKC-MDT,0.03897670565780823
WDAY-LULU,0.03899481088860623
TSLA-STX,0.039003332624045185
JPM-WTW,0.03900387704709832
TSCO-CB,0.03901087670135286
ROST-SYY,0.039013950569907904
GOOGL-URI,0.03901411247778299
IR-PTC,0.03904240622971419
PODD-SCHW,0.03904835686757155
AMZN-AMGN,0.03905435689713538
SO-RSG,0.0390663020731322
SO-CMG,0.03907078709218454
GPN-ALGN,0.03907223956013202
ULTA-ADP,0.03907999135672939
EMR-CBOE,0.0390802555144583
ODFL-WTW,0.03912428836098753
STX-APH,0.0391401556224124
MET-ROK,0.039161165285380786
LHX-BLK,0.03916996850430127
FAST-LRCX,0.0391721479203997
ZBRA-DPZ,0.039182536830102206
LNT-AOS,0.039184527456420516
OKE-GL,0.03918461338396646
AFL-ROL,0.03919078779135808
JBHT-HON,0.03919931993424958
OTIS-NVR,0.03922327490545126
DAL-ESS,0.039223731433895695
CLX-HSIC,0.03924425512853458
CME-BR,0.03926198241320947
VICI-GPC,0.0392644384627177
ICE-MLM,0.03928237507849919
ORLY-STX,0.039282623340133466
EXPD-UNP,0.03930304048482598
RMD-TSCO,0.03930473397842846
LDOS-AMAT,0.039313265357110654
MTB-MAA,0.0393229677565383
PPG-SBAC,0.03934174058603398
ATO-ERIE,0.03934927031431981
PHM-SNPS,0.03936220286571282
SHW-NSC,0.03937055034805961
SO-TPL,0.03937198173286852
IR-AMGN,0.0393818837616584
KMB-EVRG,0.03939323126640138
LMT-LH,0.03941107009045096
AKAM-LKQ,0.03941346603983748
WDAY-VRSN,0.039450807817102515
COO-ADBE,0.039466204115589654
EXR-GL,0.039505544996334775
DUK-DTE,0.039513967182739904
DUK-SYK,0.039517031592668
MAR-HUBB,0.03952747547529916
BRO-MU,0.039582267848700135
MNST-RVTY,0.03961505823390473
MNST-RVTY,0.03961505823390473
DECK-ADP,0.03961761207713036
FISV-FICO,0.03966879219354085
VICI-CDW,0.03969279885989711
AEP-VRTX,0.0396938901643542
AMT-CMS,0.03971123732472867
CME-DUK,0.039718940455566225
AON-CSX,0.03973317416632683
JNJ-ROP,0.039743721762886576
AEP-FDS,0.03974458108020134
EMN-LKQ,0.0397570701237328
GOOGL-SCHW,0.03979989149277507
POOL-TXN,0.03980961793457672
MTD-CHD,0.039813008681393376
TYL-ADP,0.039817677393086844
ED-NI,0.039824799511469465
JNJ-ESS,0.03983978468499585
GDDY-LDOS,0.039841243629030604
WEC-QCOM,0.03985410435937322
MPC-PANW,0.03986932124222522
APD-ERIE,0.039874055337206976
VRSN-WST,0.039883277872869105
CARR-UHS,0.03990852228476469
MSI-JBL,0.039916013529443614
EA-DPZ,0.03992095966518351
VICI-HOLX,0.039925995679942615
NOC-TXN,0.039935263870009285
ABBV-VRSK,0.039938023330141945
DUK-A,0.039941291461840646
PSA-DGX,0.03994537957318606
IDXX-SPGI,0.03994987437919225
MPC-GWW,0.03996003855727718
TTD-WTW,0.0399643785558992
PG-PLD,0.03997272309265989
PSX-TXT,0.04002554192251504
VMC-COF,0.040034164925254155
TSLA-HD,0.04003750750947782
CINF-CB,0.040060613907530976
CL-WDC,0.040065909024997785
PKG-AOS,0.0400759672752826
ODFL-EFX,0.04009120673059559
WSM-VRTX,0.0400969576606836
WTW-APH,0.04011100584123085
WM-TJX,0.040114775135576916
USB-ARE,0.04012811578186611
DTE-PTC,0.040137256112711434
MCHP-WEC,0.04014440444012216
CSX-LH,0.04014590758694728
AMT-CHD,0.040150452371333245
CHRW-HSIC,0.040153725917332836
O-ZBH,0.040158373475726095
IDXX-DOV,0.04016408864803375
IQV-EXR,0.040170537570075215
CCI-MDT,0.04017779295131917
JNJ-MTB,0.04018443666561912
BIIB-SJM,0.04019243469189975
PEG-PTC,0.040211209416438576
MMC-ODFL,0.04021455439403276
VRTX-CB,0.04022164736054854
EMR-EBAY,0.040227138548751325
PLD-ON,0.040229937338158606
EXR-LNT,0.04023763234747724
HOLX-NDSN,0.04023827131983378
HSY-EXR,0.04025313875625128
AVY-LOW,0.04025926157259629
MMC-ADP,0.040268449546881226
REGN-EXPE,0.04027523460417457
APD-VRSK,0.04028984455701455
ED-LOW,0.04029536157520355
ANET-APH,0.040327675640862336
XEL-DLTR,0.04034217361505889
ECL-ROK,0.04036379427019631
BBY-CMCSA,0.04036702290687969
USB-MAA,0.04037228969825314
GPC-UHS,0.040387623455261215
AEP-UNP,0.04039697687618419
SO-GWW,0.0404150449311246
MPWR-BLK,0.04041830732130656
ULTA-AIZ,0.04043446405235155
KR-PTC,0.040438875894247786
CPRT-ACGL,0.040442239201438634
EQIX-O,0.04046459274995239
ZTS-WST,0.040467778506348924
TSN-KMX,0.040471171612629475
DECK-SYK,0.040484170231275055
LYV-COF,0.04048983636572562
CL-K,0.040496927459204815
MDLZ-NOC,0.04050970216036263
MCHP-DRI,0.040528959383448845
KMB-MTB,0.040538269908403396
ACGL-ETN,0.040546688258181314
MA-NVR,0.0405508294971625
ROL-HUBB,0.040550986906692864
EW-BALL,0.040560995418416124
VLO-UHS,0.0405787927306473
EBAY-ADP,0.04057991241303059
LNT-BLK,0.04059805022971788
AMT-TRMB,0.04063194873431046
EOG-VTR,0.0406392478063943
HCA-RSG,0.04065291505591467
BRK.B-COF,0.04065488201757477
JCI-ALL,0.04065561333267503
COST-KKR,0.040661643922056956
STE-TER,0.04066532060749778
EMR-DGX,0.040671130838507714
NOC-NSC,0.040701416023020506
CHD-ALLE,0.04070875520306689
O-PSA,0.04072322713480033
EW-EFX,0.04072940738555534
NDSN-RVTY,0.040740035228957375
NDSN-RVTY,0.040740035228957375
CI-TRV,0.04074230852604518
CTSH-DLTR,0.04074821406029397
SRE-EVRG,0.04075861680772435
LYV-MPWR,0.04077205352521975
SBUX-UHS,0.04077641052156887
ADSK-MAS,0.04077898035803109
MCO-CRWD,0.040779715404145774
MET-KKR,0.04078042984164842
BRK.B-PAYX,0.04078393541222606
CDW-WAT,0.040797943586539584
VLO-NVR,0.0408045266981307
LMT-PKG,0.04080699457993851
CCI-ZBH,0.040817164263088526
SRE-CTSH,0.04081738330451575
CMG-MU,0.04082948034175329
ADSK-VRSN,0.040860509083471656
DLTR-OMC,0.040874619302132986
NTRS-PKG,0.04088976997970679
DECK-MU,0.04089385860895312
EA-DTE,0.04089442388096026
PNW-KMX,0.04091366942251514
ITW-LOW,0.040915025317805456
DOV-DRI,0.04092552840291221
STE-AVY,0.0409340452989267
BBY-CPT,0.04096198721492597
PPG-NKE,0.04096436522114598
STE-POOL,0.04096444941323977
K-DVA,0.040968093718778735
VICI-LH,0.04097433510283723
CSGP-ACN,0.04097575217482475
SHW-A,0.040984434956386685
VMC-DE,0.040997397665456674
MDLZ-ED,0.04099804794479979
EXPD-TRMB,0.04100056021065283
ITW-WEC,0.041007559089796836
HUM-BBY,0.04103028978334016
MSI-VRTX,0.04104331219836793
PAYX-AMGN,0.04106790067521846
ITW-ADSK,0.04107048109247903
FDX-EVRG,0.04109065257574459
MSI-DHI,0.04109365524807667
MET-DOV,0.04109655049497072
STX-SCHW,0.04110736893098379
HCA-WSM,0.041118143559654034
IDXX-TTWO,0.041119831709703326
ADBE-MU,0.041120177667394626
PLD-DGX,0.041173240752094054
PAYX-IDXX,0.041178968407555645
LMT-EA,0.041181031030532105
HD-ACN,0.04118473061716351
PEG-DE,0.041185399451517134
WDAY-AMGN,0.04120333417347917
VMC-TYL,0.04122158452057703
DLTR-ULTA,0.041223891848723965
MCO-HCA,0.04122980418604626
A-MKC,0.041230120390565804
EOG-UHS,0.04125629675364831
TSCO-NVR,0.04127188317857058
NVR-AMGN,0.04128283650022187
ICE-LII,0.04128382167609687
AAPL-CARR,0.04130231641323719
GOOGL-JCI,0.04130655931564183
MOH-ADI,0.04130956772367875
JPM-STX,0.04131984209637504
WDAY-CPAY,0.041335046653068294
IT-CINF,0.0413458350898075
DLR-MU,0.041347709706111936
ED-STX,0.04135186279783253
BLK-AMGN,0.04135958706582109
SHW-HCA,0.04141171515356058
ES-CMCSA,0.041414718416572446
ECL-PKG,0.04141767206514437
ON-FDS,0.04142120431573456
ON-TPL,0.041424140955015364
SO-AZO,0.04143521026072798
PTC-LII,0.041440164379889254
CLX-INCY,0.041446981302124646
DUK-XEL,0.041466950746355154
MA-UBER,0.041476308006218245
FDX-LH,0.041477150694470916
KDP-WEC,0.041496285122152254
ROK-QCOM,0.04149750095063608
EG-DVA,0.0414998445036329
REGN-OKE,0.04152114071576402
ROST-VRSK,0.04152700347851024
VRSN-ADBE,0.041535603969849885
DHI-AIZ,0.0415376193738179
STX-BRO,0.04153764156113727
VICI-DHR,0.0415423888113144
O-OMC,0.041549226109501056
EMR-VRSK,0.04155175227305035
PG-EG,0.04155553416954639
EQIX-BALL,0.0415583899434851
COO-QCOM,0.04156184383763568
AAPL-BX,0.041577299047893056
HUM-ADM,0.041582652401388566
V-DUK,0.041599745274985
DLR-DPZ,0.041601558894329885
SO-MCO,0.041604322481173975
ICE-BSX,0.04161079605829341
EL-APTV,0.04161919380225875
CSX-SCHW,0.0416194482490076
NOC-ACN,0.04162036748502038
CARR-BR,0.04162964331591124
KDP-KHC,0.041630066464157324
VLO-AMGN,0.04163728300692172
ED-ACN,0.041642028455035375
MLM-IRM,0.04164291270037654
JNJ-CPT,0.04164301538333688
DRI-ULTA,0.0416580723202058
K-CTRA,0.041660653160741
SBUX-GPC,0.0416715064374148
PKG-PANW,0.041679571814670816
ZBRA-LNT,0.04168911223074983
HOLX-AIZ,0.041689806247758816
ADBE-DHR,0.04169081542218857
EW-UNP,0.04169766892948219
MA-ISRG,0.041706749560831986
STX-PTC,0.04171564401446225
BRO-PHM,0.04172002327505499
CI-DGX,0.041740226163016196
ORLY-AZO,0.04175646355204836
ULTA-SNA,0.041770812724611674
MET-ALL,0.04178252536662809
PG-ED,0.04179730736974411
ROL-BKNG,0.041797308915653406
PEG-FFIV,0.041810556677072584
JNJ-RMD,0.0418122563087808
MNST-DGX,0.04181921820186051
APD-RVTY,0.04184143766372422
APD-RVTY,0.04184143766372422
SBUX-PPG,0.041850454764718145
ITW-VRSK,0.04187078950463991
MKC-CNC,0.0418761603087957
O-CHTR,0.0418815395779845
A-INVH,0.04188455600445879
FAST-CMI,0.041907861783502934
PODD-DPZ,0.04190891771939195
ERIE-DPZ,0.04191660479393287
PCAR-BLDR,0.04192260576566885
MOH-LOW,0.041934815478976865
GOOG-RSG,0.04194337344649012
