pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
CARR-VLTO,2025-05-02,2025-05-30,28,Z-Score Reversion,3280.0228275727277,3055.4623642859146,-819.7751817464971,71.53,71.2,547.1812759266151,95.53,101.03
CARR-PKG,2025-05-02,2025-06-06,35,Z-Score Reversion,2827.680347108122,2607.1141668406613,-819.7751817464971,71.53,71.04,270.1548449946922,187.42,196.4
CSX-TTD,2025-05-09,2025-06-06,28,Z-Score Reversion,6818.350299221063,6592.2548428154705,2039.6039895966428,28.74,32.23,-713.9705344553321,71.04,71.46
OTIS-CB,2025-06-02,2025-06-10,8,Z-Score Reversion,3737.627118527562,3489.0776285912157,622.6394923083833,94.21,95.32,-222.69716974161295,299.93,286.25
APD-TTD,2025-05-09,2025-06-13,35,Z-Score Reversion,3973.9128405822776,3765.4918135058047,216.19967787042197,271.13,280.37,-641.632408136223,71.04,67.96
IQV-NDSN,2025-04-11,2025-06-20,70,Z-Score Reversion,-4881.820343030529,-5140.63325476188,395.1744143545367,145.55,154.73,-354.71119077970667,185.56,209.55
URI-ETN,2025-06-16,2025-06-24,8,Z-Score Reversion,3509.7301254856648,3256.3558208822997,86.15137204188024,688.38,740.77,-191.18862015017845,338.01,343.26
AAPL-TTD,2025-05-09,2025-06-26,48,Z-Score Reversion,2680.0517830022945,2472.2608206917093,295.261263592442,198.53,201.0,-645.9458483208447,71.04,68.02
ITW-CARR,2025-05-02,2025-07-01,60,Z-Score Reversion,521.1604221934176,264.24556374934417,241.987944661303,242.32,255.19,-936.1821031038102,71.53,74.3
KHC-VRSN,2025-04-28,2025-07-01,64,Z-Score Reversion,-8682.802819876175,-8980.878508516058,2014.1184751424403,28.81,26.61,-329.84811284428395,276.19,289.08
NTRS-CFG,2025-06-23,2025-07-08,15,Z-Score Reversion,3287.1515635217875,3061.0263020365137,-493.5562549003006,120.81,125.96,1158.8402139678594,42.5,47.53
HLT-KLAC,2025-06-11,2025-07-11,30,Z-Score Reversion,1584.3907699867414,1324.3137147155762,233.95759124292914,253.54,277.31,-75.63296260665055,872.0,924.58
BRK.B-HCA,2025-05-15,2025-07-17,63,Z-Score Reversion,-356.27966207222926,-584.6810497448939,114.89806691645373,507.33,473.4,-154.68173573812464,385.5,362.6
CARR-ROP,2025-05-02,2025-07-29,88,Z-Score Reversion,-405.12593098988873,-632.5320143989705,-819.7751817464971,71.53,71.67,97.43537098838321,566.04,563.06
CEG-RCL,2025-07-02,2025-07-30,28,Z-Score Reversion,6673.209345144205,6400.417840250531,193.88188347836567,306.63,346.85,-222.27668149321545,326.1,331.16
AMZN-COIN,2025-06-25,2025-07-29,34,End of Backtest,1582.8290230355706,1284.1665990975937,280.32303757000284,211.99,231.39,-239.91523993917136,355.37,371.44
APO-ANET,2025-07-30,2025-07-30,0,End of Backtest,0.0,-267.9931631474907,409.435932555697,146.59,146.59,-606.8693045152235,121.9,121.9
DASH-DLR,2025-06-27,2025-07-30,33,End of Backtest,373.3433905672937,172.64165534228135,-246.04434636263014,242.315,247.86,228.63938041422145,171.36,178.96
DAY-NKE,2025-07-02,2025-07-30,28,End of Backtest,3723.7532277660503,3483.2677713587623,1071.1712059634463,55.5,59.12,-769.4326891081031,76.39,76.59
EMR-HLT,2025-06-13,2025-07-30,47,End of Backtest,-2390.7476189493755,-2644.169752979341,-473.63305961339444,125.54,146.72,239.52352926841144,243.88,275.78
HBAN-CFG,2025-07-14,2025-07-30,16,End of Backtest,-2343.274980371287,-2583.477467889138,3487.7600213306373,17.07,16.61,-1273.9747768261948,47.88,48.46
IR-PTC,2025-07-09,2025-07-30,21,End of Backtest,2173.153166365715,1916.5069015890301,679.0791586854803,87.7,86.22,-336.67270351909144,210.47,201.03
NSC-KEYS,2025-07-18,2025-07-30,12,End of Backtest,616.1070127973799,388.3183347514813,-212.83822631530563,276.66,281.3,330.6549243093574,162.45,167.3
ZTS-NDSN,2025-06-09,2025-07-30,51,End of Backtest,-4531.581664314559,-4761.403795159775,360.4221533281611,164.61,150.5,-266.334095743171,219.28,217.2
